url_base,frecuencia
codex.colmex.mx,144
www.colmex.mx,52
historiamexicana.colmex.mx,51
biblioteca.colmex.mx,22
dem.colmex.mx,21
ces.colmex.mx,18
ceaa.colmex.mx,17
cedua.colmex.mx,16
biblio2.colmex.mx,13
biblio-codex.colmex.mx,12
memoriasdehacienda.colmex.mx,9
revistas.colmex.mx,9
ceh.colmex.mx,8
lef.colmex.mx,8
cell.colmex.mx,7
lingmex.colmex.mx,6
mezcal.colmex.mx,6
biblio.colmex.mx,5
cee.colmex.mx,5
libros.colmex.mx,5
estudiosdeasiayafrica.colmex.mx,4
forointernacional.colmex.mx,4
2010.colmex.mx,3
shial.colmex.mx,3
catedramex-esp.colmex.mx,2
centros.colmex.mx,2
estudiosdegenero.colmex.mx,2
estudiosdemograficosyurbanos.colmex.mx,2
estudiossociologicos.colmex.mx,2
movimientosarmados.colmex.mx,2
oia.colmex.mx,2
petroleo.colmex.mx,2
piem.colmex.mx,2
precesam.colmex.mx,2
proyectos.colmex.mx,2
revdig.colmex.mx,2
tesis.colmex.mx,2
www.codex.colmex.mx,2
cmch.colmex.mx,1
cuadernoslinguistica.colmex.mx,1
estudioseconomicos.colmex.mx,1
nrfh.colmex.mx,1
pred.colmex.mx ,1
swahili.colmex.mx,1
www.lead.colmex.mx,1
